Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
Items/CoreEnhance:AutoFisher	Text		Auto Fisher	Auto Fisher	Auto Fisher	Auto Fisher	Auto Fisher	Auto Fisher	Auto Fisher	Auto Fisher	Auto Fisher	Auto Fisher	自动钓鱼机	自动钓鱼机	Auto Fisher
Items/CoreEnhance:AutoFisherDesc	Text		"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"After placing it, put a fishing rod at least to automatically fish
The loot depends on the environment
Not work when hasn't terminal in this world"	"放置后，至少放入钓竿即可自动钓鱼
战利品取决于环境
世界中没有终端则不工作"	"放置后，至少放入钓竿即可自动钓鱼
战利品取决于环境
世界中没有终端则不工作"	"放置后，至少放入钓竿即可自动钓鱼
战利品取决于环境
世界中没有终端则不工作"
Items/CoreEnhance:ArenaScanner	Text		Arena Scanner	Arena Scanner	Arena Scanner	Arena Scanner	Arena Scanner	Arena Scanner	Arena Scanner	Arena Scanner	Arena Scanner	Arena Scanner	竞技场扫描仪	竞技场扫描仪	Arena Scanner
Items/CoreEnhance:ArenaScannerDesc	Text		Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	Just put it in inventory, will try to point out the location of arenas	放在背包中即可，会尝试指出竞技场的位置	放在背包中即可，会尝试指出竞技场的位置	Just put it in inventory, will try to point out the location of arenas
Items/CoreEnhance:AutoFisherTerminal	Text		Auto Fisher Terminal	Auto Fisher Terminal	Auto Fisher Terminal	Auto Fisher Terminal	Auto Fisher Terminal	Auto Fisher Terminal	Auto Fisher Terminal	Auto Fisher Terminal	Auto Fisher Terminal	Auto Fisher Terminal	自动钓鱼机终端	自动钓鱼机终端	Auto Fisher Terminal
Items/CoreEnhance:AutoFisherTerminalDesc	Text		The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	The auto fisher will put loot into terminal. Only one can be placed per world.	自动钓鱼机会将渔获直接放入终端，每个世界只能放置一个	自动钓鱼机会将渔获直接放入终端，每个世界只能放置一个	The auto fisher will put loot into terminal. Only one can be placed per world.
Items/CoreEnhance:VerdantShrine	Text		Verdant Shrine	Verdant Shrine	Verdant Shrine	Verdant Shrine	Verdant Shrine	Verdant Shrine	Verdant Shrine	Verdant Shrine	Verdant Shrine	Verdant Shrine	繁茂祭坛	繁茂祭坛	Verdant Shrine
Items/CoreEnhance:VerdantShrineDesc	Text		"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
Not work when hasn't crystal in this world"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"Hover range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"	"覆盖范围16*16
自带-洒水器效果，自动收获与种植
绿-生长加速
蓝-额外收成
红-金色几率
世界中没有繁茂水晶则不工作"	"覆盖范围16*16
自带-洒水器效果，自动收获与种植
绿-生长加速
蓝-额外收成
红-金色几率
世界中没有繁茂水晶则不工作"	"The effect range is 16*16
Base-sprinkler effect, auto harverst and replant
Green-Fast growing
Blue-Extra harvest
Red-Gold chance
(Not work when hasn't crystal in this world)"
Items/CoreEnhance:VerdantShrineTerminal	Text		Verdant Crystal	Verdant Crystal	Verdant Crystal	Verdant Crystal	Verdant Crystal	Verdant Crystal	Verdant Crystal	Verdant Crystal	Verdant Crystal	Verdant Crystal	繁茂水晶	繁茂水晶	Verdant Crystal
Items/CoreEnhance:VerdantShrineTerminalDesc	Text		The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	The shrine will put loot into crystal. Only one can be placed per world.	祭坛会将收获直接放入水晶，每个世界只能放置一个	祭坛会将收获直接放入水晶，每个世界只能放置一个	The shrine will put loot into crystal. Only one can be placed per world.
