Key	Type	Desc	English	Chinese (Simplified)
CoreFighter/Value			Fighter of CK Extra Config	更好的战斗额外配置
CoreFighter/Switch			Fighter of CK Function Switch	更好的战斗功能开关
CoreFighter/Switch/Infinity			Infinity	无限
CoreFighter/Switch/Infinity/Mana			Mana	魔力
CoreFighter/Switch/Infinity/Explosive			Explosive	炸药
CoreFighter/Switch/Equip			Equip	装备
CoreFighter/Switch/Equip/NoRecoil			No Recoil	无后坐力
CoreFighter/Switch/Equip/NoRecoil/Description			Currently only available for Obliteration Ray and StormBringer	目前仅适用于毁灭射线和闪电冲击枪
CoreFighter/Switch/Misc			Misc	杂项
CoreFighter/Switch/Misc/AllPlayerSkill			All Player Skills	玩家全技能
CoreFighter/Switch/Misc/AllPetSkill			All Pet Skills	宠物全技能
CoreFighter/Switch/Misc/ImmuneExplosion			Immune Explosion	免疫爆炸
CoreFighter/AttackSpeed			Foc/Attack Speed Modifier	更好的战斗/攻速修改器
CoreFighter/AttackSpeed/General			General	通用
CoreFighter/AttackSpeed/General/MainSwitch			Main Switch	总开关
CoreFighter/AttackSpeed/OriginCoolDown0.2			OriginCoolDown 0.2s (5.0/s)	原冷却 0.2s (5.0/s)
CoreFighter/AttackSpeed/OriginCoolDown0.3			OriginCoolDown 0.3s (3.3/s)	原冷却 0.3s (3.3/s)
CoreFighter/AttackSpeed/OriginCoolDown0.4			OriginCoolDown 0.4s (2.5/s)	原冷却 0.4s (2.5/s)
CoreFighter/AttackSpeed/OriginCoolDown0.5			OriginCoolDown 0.5s (2.0/s)	原冷却 0.5s (2.0/s)
CoreFighter/AttackSpeed/OriginCoolDown0.6			OriginCoolDown 0.6s (1.7/s)	原冷却 0.6s (1.7/s)
CoreFighter/AttackSpeed/OriginCoolDown0.7			OriginCoolDown 0.7s (1.4/s)	原冷却 0.7s (1.4/s)
CoreFighter/AttackSpeed/OriginCoolDown1.0			OriginCoolDown 1.0s (1.0/s)	原冷却 1.0s (1.0/s)
CoreFighter/AttackSpeed/OriginCoolDown1.5			OriginCoolDown 1.5s (0.7/s)	原冷却 1.5s (0.7/s)
CoreFighter/AttackSpeed/OriginCoolDown2.0			OriginCoolDown 2.0s (0.5/s)	原冷却 2.0s (0.5/s)
CoreFighter/AttackSpeed/OriginCoolDown5.0			OriginCoolDown 5.0s (0.2/s)	原冷却 5.0s (0.2/s)
CoreFighter/AttackSpeed/OriginCoolDown0.2/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown0.2/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown0.2/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown0.2/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown0.2/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown0.2/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown0.2/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown0.2/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown0.3/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown0.3/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown0.3/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown0.3/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown0.3/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown0.3/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown0.3/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown0.3/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown0.4/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown0.4/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown0.4/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown0.4/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown0.4/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown0.4/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown0.4/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown0.4/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown0.5/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown0.5/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown0.5/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown0.5/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown0.5/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown0.5/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown0.5/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown0.5/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown0.6/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown0.6/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown0.6/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown0.6/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown0.6/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown0.6/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown0.6/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown0.6/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown0.7/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown0.7/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown0.7/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown0.7/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown0.7/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown0.7/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown0.7/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown0.7/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown1.0/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown1.0/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown1.0/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown1.0/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown1.0/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown1.0/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown1.0/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown1.0/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown1.5/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown1.5/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown1.5/Melee			Melee Weapon	近战武器
CoreFighter/AttackSpeed/OriginCoolDown1.5/Range			Range Weapon	远程武器
CoreFighter/AttackSpeed/OriginCoolDown1.5/Magic			Magic Weapon	魔法武器
CoreFighter/AttackSpeed/OriginCoolDown1.5/Throw			Throw Weapon	投掷武器
CoreFighter/AttackSpeed/OriginCoolDown1.5/OffHand			Off-Hand	手持物
CoreFighter/AttackSpeed/OriginCoolDown1.5/Consume			Consume	消耗品
CoreFighter/AttackSpeed/OriginCoolDown2.0/Switch			Switch	开关
CoreFighter/AttackSpeed/OriginCoolDown2.0/Tool			Tool	工具
CoreFighter/AttackSpeed/OriginCoolDown2.0/Melee			Melee Weapon	近战武器
