Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
GeneralConfigMenu/ConfigList	Text	UI	Config List	Config List	Config List	Config List	Config List	Config List	Config List	Config List	Config List	Config List	配置列表	配置列表	Config List
GeneralConfigMenu/NeedReload	Text	UI	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	Changing this entry requires a restart to take affect.	修改这条配置需要重启以应用	修改這條配置需要重啟以應用	Changing this entry requires a restart to take affect.
GeneralConfigMenu/Click	Text	UI	Click to switch	Click to switch	Click to switch	Click to switch	Click to switch	Click to switch	Click to switch	Click to switch	Click to switch	Click to switch	点击切换	點擊切換	Click to switch
GeneralConfigMenu/Server	Text	UI	Server	Server	Server	Server	Server	Server	Server	Server	Server	Server	服务器	服務器	Server
GeneralConfigMenu/Client	Text	UI	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	客户端	客戶端	Client
GeneralConfigMenu/Reset	Text	UI	Reset	Reset	Reset	Reset	Reset	Reset	Reset	Reset	Reset	Reset	重置	重置	Reset
GeneralConfigMenu/AccessLevel/ViewOnly	Text	UI	Unchangeable	Unchangeable	Unchangeable	Unchangeable	Unchangeable	Unchangeable	Unchangeable	Unchangeable	Unchangeable	Unchangeable	不可更改	不可更改	Unchangeable
GeneralConfigMenu/AccessLevel/Client	Text	UI	Can be changed at any time	Can be changed at any time	Can be changed at any time	Can be changed at any time	Can be changed at any time	Can be changed at any time	Can be changed at any time	Can be changed at any time	Can be changed at any time	Can be changed at any time	随时可更改	隨時可更改	Can be changed at any time
GeneralConfigMenu/AccessLevel/Server	Text	UI	Non guest mode changeable	Non guest mode changeable	Non guest mode changeable	Non guest mode changeable	Non guest mode changeable	Non guest mode changeable	Non guest mode changeable	Non guest mode changeable	Non guest mode changeable	Non guest mode changeable	非访客模式可更改	非訪客模式可更改	Non guest mode changeable
GeneralConfigMenu/AccessLevel/Admin	Text	UI	Admin configurable	Admin configurable	Admin configurable	Admin configurable	Admin configurable	Admin configurable	Admin configurable	Admin configurable	Admin configurable	Admin configurable	管理员可更改	管理員可更改	Admin configurable
GeneralConfigMenu/Changer/Server	Text	UI	Sync with others when changed manually	Sync with others when changed manually	Sync with others when changed manually	Sync with others when changed manually	Sync with others when changed manually	Sync with others when changed manually	Sync with others when changed manually	Sync with others when changed manually	Sync with others when changed manually	Sync with others when changed manually	手动更改时同步给其他玩家	手動更改時同步給其他玩家	Sync with others when changed manually
GeneralConfigMenu/Changer/Client	Text	UI	Saved locally when changed	Saved locally when changed	Saved locally when changed	Saved locally when changed	Saved locally when changed	Saved locally when changed	Saved locally when changed	Saved locally when changed	Saved locally when changed	Saved locally when changed	更改时保存到本地	更改時保存到本地	Saved locally when changed
GeneralConfigMenu/Changer/StoC	Text	UI	Right click to copy to client and save locally	Right click to copy to client and save locally	Right click to copy to client and save locally	Right click to copy to client and save locally	Right click to copy to client and save locally	Right click to copy to client and save locally	Right click to copy to client and save locally	Right click to copy to client and save locally	Right click to copy to client and save locally	Right click to copy to client and save locally	右键复制到客户端并保存	右鍵複製到客戶端並保存	Right click to copy to client and save locally
GeneralConfigMenu/Changer/CtoS	Text	UI	Right click to copy to server and sync	Right click to copy to server and sync	Right click to copy to server and sync	Right click to copy to server and sync	Right click to copy to server and sync	Right click to copy to server and sync	Right click to copy to server and sync	Right click to copy to server and sync	Right click to copy to server and sync	Right click to copy to server and sync	右键复制到服务器并同步	右鍵複製到服務器並同步	Right click to copy to server and sync
GeneralConfigMenu/Reset/Server	Text	UI	Reset to default (Server) and sync	Reset to default (Server) and sync	Reset to default (Server) and sync	Reset to default (Server) and sync	Reset to default (Server) and sync	Reset to default (Server) and sync	Reset to default (Server) and sync	Reset to default (Server) and sync	Reset to default (Server) and sync	Reset to default (Server) and sync	重置为默认（服务器）并同步	重置為默認（服務器）並同步	Reset to default (Server) and sync
GeneralConfigMenu/Reset/Client	Text	UI	Reset to default (Client) and save locally	Reset to default (Client) and save locally	Reset to default (Client) and save locally	Reset to default (Client) and save locally	Reset to default (Client) and save locally	Reset to default (Client) and save locally	Reset to default (Client) and save locally	Reset to default (Client) and save locally	Reset to default (Client) and save locally	Reset to default (Client) and save locally	重置为默认（客户端）并保存	重置為默認（客戶端）並保存	Reset to default (Client) and save locally
GeneralConfigMenu/config	Text	Desc	Config Change Event	Config Change Event	Config Change Event	Config Change Event	Config Change Event	Config Change Event	Config Change Event	Config Change Event	Config Change Event	Config Change Event	配置更改事件	配置更改事件	Config Change Event
GeneralConfigMenu/config/Sync	Text	Desc	On server sync	On server sync	On server sync	On server sync	On server sync	On server sync	On server sync	On server sync	On server sync	On server sync	同步时	同步時	On server sync
GeneralConfigMenu/config/Manual	Text	Desc	On configuration changes	On configuration changes	On configuration changes	On configuration changes	On configuration changes	On configuration changes	On configuration changes	On configuration changes	On configuration changes	On configuration changes	手动更改时	手動更改時	On configuration changes
GeneralConfigMenu/config/Sync/ChangeClientWhenSync	Text	Desc	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	Update configs for clients upon Server Sync	同步时更改客户端	同步時更改客戶端	Update configs for clients upon Server Sync
GeneralConfigMenu/config/Sync/ChangeClientWhenSync/Description	Text	Desc	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	Whether to save the data Synced from Server to your local config file.	当接收服务器的数据时，客户端的数据也将一同更改并保存到本地	當接收服務器的數據時，客戶端的數據也將一同更改並保存到本地	Whether to save the data Synced from Server to your local config file.
GeneralConfigMenu/config/Manual/AutoStoC	Text	Desc	Auto-Server to Client	Auto-Server to Client	Auto-Server to Client	Auto-Server to Client	Auto-Server to Client	Auto-Server to Client	Auto-Server to Client	Auto-Server to Client	Auto-Server to Client	Auto-Server to Client	自动-服务器到客户端	自動-服務器到客戶端	Auto-Server to Client
