Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
LuckyBlock/config/General/ChallengeMode/Description	Text	Config	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	Will replaces all drops with lucky blocks	将把所有掉落战利品替换为幸运方块	將把所有掉落戰利品替換為幸運方塊	Will replaces all drops with lucky blocks
Items/LuckyBlock:ItemDesc	Text		Surprise or Scare?	Surprise or Scare?	Surprise or Scare?	Surprise or Scare?	Surprise or Scare?	Surprise or Scare?	Surprise or Scare?	Surprise or Scare?	Surprise or Scare?	Surprise or Scare?	惊喜还是惊吓？	驚喜還是驚嚇？	Surprise or Scare?
LuckyBlock/config/General/SceneChance	Text	Config	Spawn scene chance	Spawn scene chance	Spawn scene chance	Spawn scene chance	Spawn scene chance	Spawn scene chance	Spawn scene chance	Spawn scene chance	Spawn scene chance	Spawn scene chance	随机场景生成率	隨機場景生成率	Spawn scene chance
LuckyBlock/config	Text	Config	Lucky Block Config	Lucky Block Config	Lucky Block Config	Lucky Block Config	Lucky Block Config	Lucky Block Config	Lucky Block Config	Lucky Block Config	Lucky Block Config	Lucky Block Config	幸运方块配置	幸運方塊配置	Lucky Block Config
Items/LuckyBlock:Item	Text		Lucky Block	Lucky Block	Lucky Block	Lucky Block	Lucky Block	Lucky Block	Lucky Block	Lucky Block	Lucky Block	Lucky Block	幸运方块	幸運方塊	Lucky Block
LuckyBlock/config/General/DropChance	Text	Config	Drop lucky block chance	Drop lucky block chance	Drop lucky block chance	Drop lucky block chance	Drop lucky block chance	Drop lucky block chance	Drop lucky block chance	Drop lucky block chance	Drop lucky block chance	Drop lucky block chance	幸运方块掉率	幸運方塊掉率	Drop lucky block chance
LuckyBlock/config/General/SceneChance/Description	Text	Config	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	Chance for random spawn a scene (%)	幸运方块随机生成场景的概率	幸運方塊隨機生成場景的概率	Chance for random spawn a scene (%)
LuckyBlock/config/General/DropChance/Description	Text	Config	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	Chance for drop a lucky block when do specific behavior	作出特定行为时掉落幸运方块的概率	作出特定行為時掉落幸運方塊的概率	Chance for drop a lucky block when do specific behavior
LuckyBlock/config/General/ChallengeMode	Text	Config	Challenge Mode	Challenge Mode	Challenge Mode	Challenge Mode	Challenge Mode	Challenge Mode	Challenge Mode	Challenge Mode	Challenge Mode	Challenge Mode	挑战模式	挑戰模式	Challenge Mode
LuckyBlock/config/Weight/Equip	Text	Config	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	Equip	装备	装备	Equip
LuckyBlock/config/Weight/NPC	Text	Config	NPC	NPC	NPC	NPC	NPC	NPC	NPC	NPC	NPC	NPC	NPC	NPC	NPC
LuckyBlock/config/Weight/Food	Text	Config	Ingredients	Ingredients	Ingredients	Ingredients	Ingredients	Ingredients	Ingredients	Ingredients	Ingredients	Ingredients	食材	食材	Ingredients
LuckyBlock/config/Weight/Misc	Text	Config	Misc	Misc	Misc	Misc	Misc	Misc	Misc	Misc	Misc	Misc	杂项	杂项	Misc
