Key	English	Chinese (Simplified)
ControlMapper/PointShop_Open	Open Point Shop	打开积分商店
ControlMapper/PointShop_Scale	Buy ten copies (Hold on)	购买十份（按住）
ItemCategory/Environment_NoneBiome	General	通用
ItemCategory/Environment_LarvaHiveBiome	Larva Hive Biome	虫巢生态区
ItemCategory/Environment_AlienBiome	Alien Biome	外星生态区
Items/PointShop_Currency	Point Coin	积分币
Items/PointShop_CurrencyDesc	Obtained by defeating bosses, and used to exchange for items in the points shop	通过击败首领获取，用于在积分商店交换物品
PointShop/Config	Point Shop Config	积分商店配置
PointShop/Config/General	General	通用
PointShop/Config/General/ShowSwitch	Show Toggle	显示开关
PointShop/Config/General/ShowSwitch/Description	"Whether to always display the point shop toggle at the top of the screen
Additionally, you can go to the ""Controls – Mods"" page to bind a hotkey for directly accessing the shop"	"是否在屏幕上方常驻显示积分商店开关，点击可以进入商店
另外，你也可以前往“键位-Mods""页面绑定快捷键直接访问商店"
